email, priority, justification
kean-s_notes_inbox_127, 4, "This email is a casual discussion about gift ideas for family members and does not require immediate attention."
kean-s_notes_inbox_89, 3, "The email discusses a potential legal issue but does not indicate an immediate need for action or response."
kean-s_pr_crisis_management_6, 1, "The email discusses an emergency contact list and requires recipients to review and update their information, which is crucial for safety and security during emergencies."
kean-s_pr_crisis_management_8, 1, "The email mentions an emergency situation and provides contact information for immediate assistance."
kean-s_project_california_21, 1, "The email discusses an urgent and confidential matter that requires immediate input from the recipient to address potential negative consequences."
kean-s_security_11, 3, "This email is about updating the Emergency call list and requesting corrections or additions before the end of the month."
kean-s_sent_1825, 3, "This email is a follow-up on a previous discussion about an external job fair and does not indicate an urgent response is needed."
kean-s_sent_515, 4, "The email is about someone being out of the office and not requiring an immediate response."
keavey-p_all_documents_193, 2, "The email discusses disaster preparedness and plans for EOL, which requires a timely response but is not an immediate emergency."
keavey-p_discussion_threads_19, 1, "The email discusses disaster preparedness and emergency plans, which are critical for safety and operations."
keavey-p__sent_mail_54, 2, "The email discusses disaster preparedness and plans for EOL, requiring a timely response but not immediate action."
keiser-k_inbox_172, 4, "The email discusses a non-urgent issue and the sender explicitly states that it is not urgent."
king-j_deleted_items_68, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
kitchen-l__americas_asset_marketing_66, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
kitchen-l__americas_east_power_79, 2, "The email discusses an emergency meeting and requests recipients to gather information before a scheduled lunch meeting."
kitchen-l__americas_esvl_616, 3, "The email is about an Emergency Contact List update, but it does not require immediate action or response."
kitchen-l__americas_esvl_836, 1, "The email mentions an urgent issue related to a loan and a request to delay the call, which requires immediate attention."
kitchen-l__americas_hr_25, 2, "The email discusses an issue impacting ongoing projects and requires timely input."
kitchen-l__americas_hr_26, 2, "The email discusses issues impacting ongoing operations and potential lawsuits, requiring a timely decision or input."
kitchen-l__americas_hr_284, 1, "The subject line contains 'URGENT' and the email discusses employee agreements that need immediate attention."
kitchen-l__americas_mrha_ooc_131, 1, "The email is sent on the day of a crisis (September 11, 2001) and discusses emergency contact information and employee safety."
kitchen-l__americas_netco_hr_40, 1, "The email mentions an immediate need for action and a potential external bid that requires urgent attention."
kitchen-l__americas_ooc_107, 1, "The email is sent on the date of a major crisis (September 11, 2001) and discusses emergency contact information and employee safety."
kitchen-l__americas_ooc_110, 1, "The email mentions an emergency situation and provides contact information for immediate assistance."
kitchen-l__americas_portland_53, 1, "The email mentions a potential default of a tolling agreement and requires immediate attention to resolve the issue."
kitchen-l__americas_regulatory_207, 2, "The email discusses an emergency bill that failed passage and may be taken up again, requiring attention from the recipients."
kitchen-l__americas_sec_11, 1, "The email mentions an urgent issue related to a loan and a request to delay the call, which requires immediate attention."
kitchen-l__americas_tammie_11, 2, "The email discusses scheduling meetings and providing dial-in information, which requires a timely response."
kitchen-l_deleted_items_15, 4, "The email is an automated out-of-office message and does not require immediate action."
kitchen-l_deleted_items_182, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
kitchen-l_sent_items_688, 1, "The email has 'URGENT' in the subject and requests a meeting to be arranged as soon as possible."
kitchen-l_sent_items_788, 1, "Mention of a person being very ill in the emergency room with a possible heart attack."
kuykendall-t_notes_inbox_6, 1, "The email mentions an immediate deadline (2:00) for comments or input and the filing must be made in the afternoon."
lavorato-j_all_documents_430, 1, "The email contains the word 'URGENT' in the subject line and mentions a threat if payment is not made in time."
lavorato-j_all_documents_658, 1, "The email mentions an urgent request and implies that it needs to be addressed promptly."
lavorato-j_phone_numbers_3, 1, "The email mentions an emergency situation and provides contact information for immediate assistance."
lavorato-j_phone_numbers_4, 1, "The email is requesting 24-hour contact information, implying an urgent need for immediate action."
lavorato-j_sent_331, 1, "The email contains an urgent subject and mentions the need for immediate action to avoid negative consequences."
lavorato-j_sent_536, 1, "The email mentions an urgent request and implies that it needs to be addressed promptly."
lay-k_all_documents_553, 5, "This email is a promotional request for volunteers to support a political campaign, not directly related to immediate work needs."
lay-k_discussion_threads_446, 5, "This email is a promotional request for volunteers to join a political campaign, not directly related to immediate work needs."
lay-k_discussion_threads_452, 1, "The email mentions an emergency and potential negative consequences if not addressed promptly."
lay-k_inbox_339, 1, "The email discusses a suspicious letter and the need for immediate testing, indicating a potential emergency or crisis."
lay-k_notes_inbox_343, 4, "This email is a request for volunteers to join a political campaign, which is not directly related to immediate work needs."
lay-k_notes_inbox_349, 1, "The email mentions an emergency and potential negative consequences if not addressed promptly."
lay-k_sent_169, 5, "This email is promotional material related to a magazine subscription and does not require immediate attention."
lewis-a_deleted_items_192, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
lewis-a_deleted_items_232, 5, "This email is promotional material and does not require a response or attention."
lewis-a_deleted_items_349, 5, "This email is promotional material and does not require a response or attention."
lewis-a_deleted_items_578, 5, "This email is promotional material for term life insurance and does not require a response or attention unless of specific personal or professional interest."
linder-e_notes_inbox_702, 1, "The email mentions an emergency maintenance and server outage, which requires immediate attention."
lokay-m_all_documents_24, 3, "The email contains important dates and information about invoice processing, but it is not urgent or requiring immediate action."
lokay-m_all_documents_497, 1, "The email mentions an emergency notice and immediate repair work, indicating urgent action is required."
lokay-m_corporate_654, 2, "The email mentions a deadline for updates related to the March 15 paycheck and asks to send the email as urgent for expedited processing."
lokay-m_deleted_items_214, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
lokay-m_discussion_threads_467, 1, "The email mentions an emergency notice and immediate repair work, which indicates immediate action is required."
lokay-m__sent_mail_17, 1, "The email has an explicit mention of 'URGENT REQUEST' and requires immediate action to provide contact names."
lokay-m_tw_commercial_group_302, 3, "This email is about a routine update on the time change for a staff meeting."
lokey-t_deleted_items_60, 1, "The email mentions an emergency change control and a specific time for implementation, indicating immediate action is required."
lokey-t_inbox_224, 3, "This email is about a new feature in the eHRonline system and requires employees to update their information, but it is not urgent or time-sensitive."
lokey-t_inbox_621, 1, "This email is about an immediate virus threat and requires immediate action to prevent potential harm to the system."
lokey-t_inbox_622, 1, "This email discusses an immediate crisis and potential negative consequences if not addressed promptly."
lokey-t_inbox_632, 1, "Emergency maintenance on the server is scheduled for today, which will impact the availability of certain sites."
lokey-t_sent_items_13, 3, "The email informs about a location change for a weekly meeting, which is not urgent but requires timely attention."
love-p_all_documents_658, 4, "This email is a casual check-in and does not require immediate action."
love-p_all_documents_662, 4, "This email is a casual check-in and discusses a non-urgent issue related to a screensaver."
love-p_deleted_items_78, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
love-p_sent_498, 4, "This email is a casual conversation between two individuals and does not require immediate attention."
love-p_sent_501, 4, "This email is a casual check-in and discusses a non-urgent issue related to a screensaver."
mann-k_all_documents_1552, 2, "The email mentions a drastic situation and asks for a draft of an agreement, indicating a need for a timely response."
mann-k_all_documents_1570, 3, "The email discusses ongoing projects and requests for information, but does not indicate urgency or immediate action required."
mann-k_all_documents_343, 4, "The email is providing updates and mentions 'Nothing urgent'."
mann-k_all_documents_4203, 3, "This email discusses a specific issue related to a project but does not indicate an urgent deadline or immediate action required."
mann-k_all_documents_5346, 1, "The email mentions an urgent need for a change order and a threat of negative consequences if not addressed promptly."
mann-k_all_documents_5688, 2, "The email discusses information needed for a contract and mentions that one piece of information is needed urgently."
mann-k_all_documents_5701, 3, "This email is a follow-up on a previous discussion and provides information, but does not indicate an urgent deadline."
mann-k_all_documents_6096, 4, "This email is a casual conversation between colleagues discussing personal matters and does not require immediate attention."
mann-k_all_documents_6228, 3, "The email discusses scheduling and ongoing projects, but does not mention any urgent deadlines or immediate action required."
mann-k_all_documents_798, 2, "The email discusses rescheduling a meeting and asks for input on urgency."
mann-k_deleted_items_27, 4, "This is an out of office auto-reply, indicating no immediate response is required."
mann-k_discussion_threads_1077, 2, "The email mentions that the ABB facility agreement is getting urgent, indicating a need for a timely response."
mann-k_discussion_threads_2252, 1, "The email mentions that the issue is 'obviously urgent' and requires immediate attention."
mann-k_discussion_threads_235, 4, "The email mentions updates and catching up on other stuff, but explicitly states 'Nothing urgent...'"
mann-k_discussion_threads_2801, 2, "The email discusses an issue related to a purchase agreement and requires clarification, but it is not an emergency."
mann-k_discussion_threads_2932, 2, "The email discusses an issue related to 'must run' conditions and suggests adding specific language to a document, indicating a need for timely input or decision."
mann-k_discussion_threads_3037, 4, "This email is a casual check-in regarding the out of office message and does not require immediate action."
mann-k_discussion_threads_3783, 1, "The subject line contains the word 'Urgent' and is related to final documents."
mann-k_discussion_threads_4061, 2, "The email discusses information needed for a contract and mentions that one piece of information is needed urgently."
mann-k_discussion_threads_4428, 4, "This email is a casual conversation between colleagues discussing personal matters and does not require immediate attention."
mann-k_discussion_threads_653, 2, "The email requests specific information but does not mention an immediate deadline or crisis."
mann-k_notes_inbox_334, 4, "This email is a casual conversation between colleagues discussing personal matters and does not require immediate attention."
mann-k_sent_1190, 2, "The email mentions a drastic situation and asks for a draft of an agreement, indicating a need for a timely response."
mann-k_sent_1705, 1, "The email subject contains 'URGENT' and is related to an APB (All Points Bulletin), indicating immediate action is required."
mann-k_sent_2389, 1, "The email mentions that the issue is 'obviously urgent' and requires immediate attention."
mann-k_sent_3976, 1, "The subject line contains the word 'Urgent' and is related to final documents."
mann-k_sent_651, 3, "This email is discussing the scheduling of a meeting and does not indicate any urgent deadlines or immediate action required."
mann-k_sent_730, 1, "The subject line and content mention an urgent need for information."
mann-k__sent_mail_149, 3, "The email discusses scheduling constraints and requests for a new version of a document, but does not imply an immediate deadline or urgent action."
mann-k__sent_mail_1996, 1, "The email mentions that the issue is 'obviously urgent' and requires immediate attention."
mann-k__sent_mail_2638, 1, "The subject line contains 'URGENT' and the email is discussing a potentially critical security issue."
mann-k__sent_mail_3106, 2, "The email mentions a drastic situation and asks for a draft of an agreement, indicating a need for a timely response."
mann-k__sent_mail_3532, 2, "The email requests specific information but does not mention an immediate deadline or crisis."
mann-k__sent_mail_3956, 4, "The email mentions 'Nothing urgent' and is providing updates on various topics."
mann-k__sent_mail_456, 1, "The subject line contains the word 'Urgent' and is related to final documents."
martin-t_inbox_394, 3, "This email contains updates on invoices and a statement, but does not mention any urgent deadlines or immediate action required."
may-l_inbox_306, 1, "The email discusses an immediate virus threat and requires immediate action to prevent further damage."
may-l_inbox_694, 4, "This email is informing about the office closure on a specific date and provides alternative ways to contact in case of emergencies."
mccarty-d_deleted_items_268, 4, "This is an out of office auto-reply, indicating that the sender is on vacation and no immediate response is required."
mccarty-d_deleted_items_33, 2, "The email contains important information about a change in dial-in numbers for conference calls, which requires attention but is not an emergency."
mccarty-d_inbox_alaska_gas_107, 3, "This email is a follow-up on an ongoing discussion and does not indicate an urgent deadline or immediate action required."
mccarty-d_sent_items_185, 2, "The email discusses the need to begin the sales process as soon as possible and requests urgent feedback."
mcconnell-m_sent_375, 1, "The subject line contains the word 'Urgent' and discusses a clearance issue."
mcconnell-m__sent_mail_374, 1, "The subject line contains the word 'Urgent' and discusses a clearance issue, indicating immediate action is required."
mcconnell-m__sent_mail_545, 3, "The email is a follow-up on a missed call and the sender is willing to call back later, with no mention of urgent matters."
mckay-j_deleted_items_30, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
mclaughlin-e_deleted_items_397, 4, "This is an out of office auto-reply, which does not require immediate action or response."
mclaughlin-e_discussion_threads_403, 1, "The email mentions that it is 'extremely important' and requires immediate action to communicate any deal booked to the East."
mclaughlin-e_inbox_406, 1, "The email contains an urgent request and requires immediate action."
mclaughlin-e_sent_83, 1, "The email mentions that it is extremely important and urgent, requiring immediate action."
mclaughlin-e_sent_items_92, 1, "The email contains an urgent request and requires immediate action."
meyers-a_deleted_items_318, 3, "This email contains routine updates on system availability and scheduled outages, with no indication of urgency."
mims-thurston-p_all_documents_82, 4, "The email is a casual conversation and does not require immediate attention."
mims-thurston-p_deleted_items_148, 3, "This email contains information about system outages and maintenance, but does not indicate an urgent or immediate need for action."
motley-m_deleted_items_111, 4, "This email provides non-urgent updates on weather conditions and does not require immediate action."
motley-m_inbox_39, 2, "The email mentions a deadline for updates related to the March 15 paycheck and asks to send the email as urgent for expedited processing."
motley-m_inbox_62, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
neal-s_sent_items_129, 3, "The email is a follow-up on a previous discussion and requests updates on the interview process, but does not mention an immediate deadline."
nemec-g_all_documents_2028, 3, "The email discusses a non-urgent issue related to the operatorship of a pipeline and plans to set up a meeting to discuss the matter."
nemec-g_inbox_1101, 4, "This is an out of office auto-reply, which is informative and does not require immediate action."
nemec-g_sent_397, 4, "This email is a casual communication between band members discussing non-urgent matters."
panus-s_deleted_items_72, 1, "The email mentions an emergency maintenance and an outage, which requires immediate attention."
panus-s_deleted_items_93, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
parks-j_deleted_items_853, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
parks-j_sent_items_166, 1, "The email contains an urgent subject and mentions immediate action (walking over there) and contact via cell phone."
perlingiere-d_all_documents_2861, 1, "The subject line contains the word 'URGENT', indicating immediate action is required."
perlingiere-d_deleted_items_546, 3, "This email contains routine updates on system availability and outages, with no urgent action required."
perlingiere-d_deleted_items_547, 1, "This email discusses an immediate crisis and potential negative consequences if not addressed promptly."
perlingiere-d_inbox_60, 1, "This email is about an immediate virus threat and requires immediate action to prevent potential harm to the company's systems."
perlingiere-d_inbox_61, 1, "This email discusses an immediate crisis and requires immediate action to prevent the spread of a virus."
perlingiere-d_sent_2717, 1, "The subject line contains the word 'URGENT', indicating immediate action is required."
pimenov-v_deleted_items_424, 3, "Routine request for information update, no explicit urgency mentioned."
pimenov-v_inbox_294, 2, "The email requests emergency contact information, but does not mention an immediate crisis or deadline."
pimenov-v_inbox_76, 4, "This email is a casual check-in to confirm an address and phone number, with no immediate action required."
pimenov-v_sent_items_137, 3, "This email is a routine request for information update, with no explicit urgency mentioned."
platter-p_deleted_items_45, 1, "The email contains an urgent notification and requires immediate action to submit schedules before a specific deadline."
platter-p_deleted_items_48, 1, "The email contains an urgent notification and requires immediate action to submit schedules before a specific deadline."
platter-p_inbox_58, 1, "The email mentions the need for immediate action to avoid delays in onboarding and payroll processing."
presto-k_deleted_items_1341, 4, "This is an out of office auto-reply, indicating that the sender is not available and no immediate response is required."
presto-k_deleted_items_53, 1, "The email mentions an imminent deadline (Tuesday, 5th February) and states that employment cannot commence until the drug test is completed."
rapp-b_inbox_126, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
rapp-b_inbox_157, 2, "The email discusses operational issues and potential consequences, and the sender requests a call to discuss the matter."
rapp-b_inbox_405, 1, "The email mentions emergency maintenance and an imminent deadline within hours."
reitmeyer-j_deleted_items_63, 5, "This email is promotional material and does not require a response or attention."
reitmeyer-j_inbox_195, 1, "This email discusses an immediate crisis (virus) and requires immediate action to prevent negative consequences."
richey-c_deleted_items_17, 3, "This email is an update on a new operating procedure and provides a link to the document, but does not require immediate action."
richey-c_inbox_77, 3, "This email is a request for updated contact information, but it does not mention any immediate deadlines or consequences."
ring-a_deleted_items_38, 3, "This email contains routine updates on system availability and scheduled outages, with no explicit urgency."
ring-r_deleted_items_287, 4, "This email is an informative message about the observance of Martin Luther King Day and the availability of support services."
ring-r_personalfolder_10, 5, "This email is promotional material about a new product and does not require immediate attention."
rodrique-r_all_documents_481, 1, "The email mentions an urgent issue that needs to be addressed and has a sense of immediacy."
rodrique-r_sent_466, 2, "The email discusses an issue that needs to be addressed for an upcoming meeting and requires coordination."
rodrique-r__sent_mail_466, 1, "The email mentions an urgent issue that needs to be addressed and has a sense of immediacy."
rogers-b_all_documents_114, 3, "This email is a request for information and documents related to environmental issues, but there is no mention of urgency or deadlines."
rogers-b_all_documents_181, 3, "This email provides information on Unit 3's numbers and does not require immediate action or response."
rogers-b_deleted_items_100, 4, "This email is a general information about the observance of Martin Luther King Day and the availability of HelpDesk Support."
rogers-b_discussion_threads_1768, 3, "This email provides information on Unit 3's numbers and does not indicate any urgency or immediate action required."
rogers-b_discussion_threads_1862, 3, "This email provides information about contracts and their labeling, but does not indicate an urgent need for action."
rogers-b_genco_jv_ipo_27, 3, "This email provides information about contracts and their labeling, but does not indicate an urgent need for action."
rogers-b_genco_jv_ipo_65, 3, "This email provides information on Unit 3's numbers and does not indicate any urgency or immediate action required."
rogers-b_inbox_217, 1, "The email mentions an emergency maintenance and an outage, which requires immediate attention and action."
rogers-b_inbox_29, 4, "This email is a casual message with non-urgent content."
rogers-b_sent_102, 3, "The email provides answers to questions and updates on ongoing tasks, but does not indicate urgency or immediate action required."
sager-e_all_documents_1160, 1, "The email mentions 'urgent' in the subject and requires a response ASAP due to a tight schedule."
sager-e_all_documents_244, 4, "The email is a casual response to a previous discussion and does not require immediate action."
sager-e_inbox_750, 3, "The email is about a meeting scheduled for Monday, November 5, and does not mention any urgent or time-sensitive issues."
saibi-e_inbox_1021, 2, "The email requests emergency contact information, but does not mention an immediate crisis or deadline."
saibi-e_inbox_383, 1, "This email discusses an immediate threat to the company's network security and requires immediate action to prevent potential damage."
saibi-e_inbox_503, 3, "This email requests updates on personal information but does not indicate an urgent deadline or immediate consequences."
saibi-e_inbox_697, 1, "The email mentions an emergency maintenance and an outage that will impact access to essential functions like email and calendar."
salisbury-h_inbox_1033, 3, "This email discusses a new transmission idea and provides information on a potential path, but does not require immediate action or response."
salisbury-h_inbox_1048, 4, "This email provides general information about an earthquake, but does not require immediate action or response."
salisbury-h_inbox_1063, 1, "The email mentions 'URGENT' and discusses potential interruptions of firm load, indicating immediate action is required."
salisbury-h_inbox_1084, 4, "The email provides general information about an earthquake, but no immediate action is required as there are no reports of damage or casualties."
salisbury-h_inbox_1124, 1, "The email contains an urgent weather message and a wind advisory that requires immediate attention."
salisbury-h_inbox_1131, 1, "The email contains an urgent weather message and a wind advisory that requires immediate attention."
salisbury-h_inbox_1149, 1, "The email declares a STAGE 2 Electrical Emergency, which requires immediate action and attention."
salisbury-h_inbox_1153, 1, "The email declares a STAGE 1 Electrical Emergency, which requires immediate action and attention."
salisbury-h_inbox_158, 1, "This email discusses an immediate crisis and potential negative consequences if not addressed promptly."
salisbury-h_inbox_193, 1, "The email discusses an immediate virus threat and requires immediate action to prevent further damage."
salisbury-h_inbox_429, 3, "This email is about a planned power testing event and asks recipients to power down their equipment, but it is not an urgent or time-sensitive issue."
salisbury-h_inbox_545, 3, "This email requests updates on personal information but does not mention any urgent deadline or immediate consequences."
salisbury-h_inbox_630, 1, "Mentions emergency staff and the need for travel assistance in light of a crisis."
salisbury-h_inbox_631, 1, "The email is requesting 24-hour contact information, implying an urgent need for immediate action."
salisbury-h_inbox_633, 1, "The email mentions the closure of the building and encourages staff to dial in only for emergencies and critical business operations."
salisbury-h_inbox_759, 1, "The email mentions a flash flood warning and immediate action required for residents in the affected area."
salisbury-h_inbox_760, 1, "The email contains an immediate flash flood warning and requires urgent action to ensure safety."
salisbury-h_inbox_788, 1, "This email contains a Red Flag Warning for scattered dry thunderstorms, which is an emergency situation that requires immediate attention."
salisbury-h_inbox_792, 1, "The email mentions a Red Flag Warning and Fire Weather Watch, indicating an emergency situation that requires immediate attention."
salisbury-h_inbox_797, 1, "This email contains a Red Flag Warning for scattered dry thunderstorms, which is an emergency situation that requires immediate attention."
salisbury-h_inbox_801, 1, "The email discusses a fire weather watch and potential dry lightning, which can have significant negative consequences if not addressed promptly."
salisbury-h_inbox_806, 1, "This email discusses a fire weather watch and potential dry lightning, which is an emergency situation requiring immediate action."
salisbury-h_inbox_895, 1, "The email is related to a community warning system message and is marked as urgent."
salisbury-h_inbox_924, 2, "The email discusses a strong earthquake that occurred in Peru, which may have caused damage and requires attention."
salisbury-h_inbox_931, 1, "The email mentions a Stage 3 Electrical Emergency and rotating outages, which require immediate action and attention."
salisbury-h_inbox_932, 1, "The email mentions a 90-minute probability notice for rotating outages and estimates that outages could begin soon, making it an urgent situation requiring immediate action."
salisbury-h_inbox_939, 1, "The email mentions an electrical emergency and has a specific time frame for the emergency, indicating immediate action is required."
salisbury-h_inbox_946, 1, "The email mentions an electrical emergency and has a specific time frame for the emergency, indicating immediate action is required."
salisbury-h_inbox_947, 1, "The email declares a STAGE 1 Electrical Emergency and has an urgent label in the subject."
salisbury-h_inbox_964, 1, "The email discusses a potential emergency situation in the city of Richmond and provides contact information for immediate questions."
salisbury-h_read_104, 1, "The email declares a STAGE 2 Electrical Emergency, which is a crisis situation requiring immediate action."
salisbury-h_read_114, 1, "The email declares a STAGE 2 Electrical Emergency, which requires immediate action and has significant negative consequences if not addressed promptly."
salisbury-h_read_120, 1, "The email discusses a cancellation of a STAGE 2 electrical emergency, which implies immediate action and potential consequences if not addressed."
salisbury-h_read_121, 4, "This email is an informative update on the cancellation of load interruptions, with no immediate action required."
salisbury-h_read_124, 1, "The email mentions a Stage 3 load interruption, which is a crisis situation requiring immediate action."
salisbury-h_read_125, 1, "The email declares a STAGE 3 Electrical Emergency with a specific time frame, indicating immediate action is required."
salisbury-h_read_128, 1, "The email declares a STAGE 2 Electrical Emergency, which requires immediate action and has significant negative consequences if not addressed promptly."
salisbury-h_read_15, 4, "This email is an informative update about an earthquake, but does not require immediate action or response."
salisbury-h_read_50, 1, "The email mentions an immediate threat of flooding and requires urgent action to protect life and property."
salisbury-h_read_6, 4, "This email provides general information about an earthquake in Indonesia and does not require immediate action."
salisbury-h_read_75, 4, "The email is a test message and explicitly asks the recipient to disregard it."
salisbury-h_sent_items_136, 3, "The email is a request to be included in a distribution list, and there is no explicit urgency mentioned."
salisbury-h_sent_items_35, 2, "The email requests important information related to emergency contacts, but does not mention an immediate deadline."
salisbury-h_sent_items_45, 4, "The email is a follow-up on updating emergency contact information, which is not urgent or time-sensitive."
sanders-r_all_documents_1153, 2, "The email discusses an ongoing legal matter with an approaching deadline (Monday) and requires a decision on retaining counsel."
sanders-r_all_documents_2227, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
sanders-r_all_documents_3862, 1, "The email contains an urgent report and mentions priority items that need to be addressed."
sanders-r_all_documents_5185, 1, "The email mentions an emergency motion, a hearing, and requires immediate review and consideration."
sanders-r_deleted_items_237, 1, "This email discusses an immediate threat to the company's network and requires immediate action to prevent the spread of a virus."
sanders-r_deleted_items_392, 3, "This email contains routine updates on system availability and scheduled outages, with no indication of urgency."
sanders-r_notes_inbox_179, 1, "The email mentions an emergency motion, a hearing, and requires immediate review and consideration."
sanders-r_notes_inbox_71, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
sanders-r_sent_items_206, 1, "The email mentions an urgent legal matter with a short answer date, requiring immediate attention."
schoolcraft-d_inbox_junk_583, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
schwieger-j_deleted_items_156, 3, "This email contains updates on invoices and a statement, but does not mention any urgent deadlines or immediate action required."
schwieger-j_sent_items_15, 2, "The email requests information urgently and is related to Enron's storage capacity in Texas."
scott-s_all_documents_1413, 3, "The email is asking for more information about the presentation times, but there is no explicit urgency or deadline mentioned."
scott-s_all_documents_916, 3, "This email provides information about a filing for emergency relief but does not require immediate action or response."
scott-s_deleted_items_158, 3, "This email contains routine updates on system availability and scheduled outages, with no indication of urgency."
scott-s_deleted_items_256, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
scott-s_inbox_111, 4, "This email is a casual check-in and does not require immediate attention."
scott-s_notes_inbox_36, 3, "This email is an update on an ongoing project and does not indicate any urgency or immediate action required."
scott-s_sent_602, 3, "The email is a follow-up asking for more information about presentation times, not an urgent request or deadline."
semperger-c_deleted_items_142, 3, "This email contains routine updates on system availability and outages for the weekend, with no urgent action required."
shackleton-s_all_documents_10108, 1, "The email mentions urgent calls from traders and requests a call as soon as the email is received."
shackleton-s_all_documents_10148, 3, "Routine business inquiry, no explicit or implied rush."
shackleton-s_all_documents_10280, 3, "The email is a follow-up on a previous urgent request, but the current content does not indicate any urgency or immediate action required."
shackleton-s_all_documents_10297, 3, "The email discusses rescheduling a meeting, but there is no explicit urgency or deadline mentioned."
shackleton-s_all_documents_10761, 4, "This email is a casual heads-up about a potential delay in arrival to a meeting."
shackleton-s_all_documents_10839, 3, "This email is a routine update on the reassignment of ISDA Master Agreements and does not indicate urgency."
shackleton-s_all_documents_11042, 3, "The email is a follow-up on a previous discussion about preparing an ISDA Agreement, but there is no explicit urgency or deadline mentioned."
shackleton-s_all_documents_1735, 3, "This email discusses incorporating agreements into a database and access for a colleague, but does not mention any urgent deadlines or immediate consequences."
shackleton-s_all_documents_1831, 4, "This email is an informative update about a new travel and medical emergency assistance provider, with no immediate action required."
shackleton-s_all_documents_3398, 1, "The email contains the word 'URGENT' and requests immediate action to execute and send the documents."
shackleton-s_all_documents_3464, 1, "The subject line and content mention the situation has become urgent and requires immediate attention."
shackleton-s_all_documents_4716, 1, "The email mentions an urgent need for specific documents related to a prepay closing tomorrow, requiring immediate action."
shackleton-s_all_documents_4746, 2, "The email discusses an issue impacting ongoing operations and requires a timely decision or input."
shackleton-s_all_documents_8597, 1, "The email is marked as URGENT and requires immediate action to print, sign, and fax documents."
shackleton-s_all_documents_9063, 2, "The email discusses priority brokerage agreements and the progress made on them, requiring a timely response."
shackleton-s_all_documents_9069, 1, "The email subject and content mention 'Urgent' and a 'major priority', indicating immediate action is required."
shackleton-s_all_documents_989, 3, "This email is a follow-up on previous discussions and does not indicate an urgent need for a response."
shackleton-s_all_documents_9930, 1, "The email discusses an emergency password reset due to a death in the family and time-sensitive documents."
shackleton-s_deleted_items_503, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
shackleton-s_deleted_items_97, 1, "The email announces an emergency maintenance and server outage, which will impact essential functions like email and calendar access."
shackleton-s_inbox_773, 2, "The email mentions a deadline for updates related to the March 15 paycheck and asks to send the email as urgent for expedited processing."
shackleton-s_nelson_3, 1, "The email mentions 'Urgent' in the subject and discusses a major priority project that requires immediate attention."
shackleton-s_nelson_75, 3, "The email is a follow-up on a previous discussion and does not mention any urgency or deadlines."
shackleton-s_notes_inbox_1142, 1, "The email subject and content mention the situation as 'URGENT' and request a call for questions."
shackleton-s_notes_inbox_1146, 4, "This email is a casual notification about the sender's absence and does not require immediate action."
shackleton-s_notes_inbox_1261, 4, "The email is informing about the sender's absence and who will be covering for them, but no immediate action is required."
shackleton-s_notes_inbox_2182, 4, "This email is a general out-of-office notification with no immediate action required."
shackleton-s_notes_inbox_2833, 1, "The email discusses an emergency password reset due to a death in the family and time-sensitive documents."
shackleton-s_notes_inbox_2834, 1, "The email discusses an emergency password reset due to a death in the family and time-sensitive documents."
shackleton-s_sent_1234, 3, "This email discusses incorporating agreements into a database and access for a colleague, but does not mention any urgent deadlines or immediate consequences."
shackleton-s_sent_2043, 1, "The subject line contains 'URGENT!!!' and the email discusses details that will be provided shortly."
shackleton-s_sent_2370, 1, "The email mentions an urgent need for specific documents related to a prepay originating from London that closes tomorrow, requiring immediate action."
shackleton-s_sent_2545, 1, "The email mentions an urgent matter and requests quick execution of a guaranty."
shackleton-s_sent_2551, 2, "The email discusses an urgent request related to a guaranty and requires action as soon as possible."
shackleton-s_sent_5901, 1, "The email mentions urgent calls from ECI traders and requests a call as soon as the email is received."
shackleton-s_sent_5921, 3, "Routine business inquiry, no explicit or implied rush."
shackleton-s_sent_5952, 3, "The email is a follow-up on a previous urgent request, but the current email does not require immediate action."
shackleton-s_sent_6127, 4, "This email is a casual heads-up about a potential delay in arrival to a meeting, with no immediate action required."
shackleton-s_sent_6151, 3, "The email is a routine update on ongoing projects and requests for reassignment, with no explicit urgency mentioned."
shackleton-s_sent_6207, 3, "The email is a follow-up on a previous discussion about preparing an ISDA Agreement, but there is no explicit urgency or deadline mentioned."
